================ Training Loss (Wed Sep 17 18:25:08 2025) ================
[Rank 0] (epoch: 80, iters: 150, time: 1.832, data: 0.002) , G_GAN: 1.355, G_L1: 3.997, D_real: 0.313, D_fake: 0.726

[Rank 0] (epoch: 81, iters: 100, time: 1.529, data: 11.160) , G_GAN: 1.471, G_L1: 2.745, D_real: 0.369, D_fake: 0.690

[Rank 0] (epoch: 82, iters: 50, time: 1.833, data: 0.002) , G_GAN: 0.712, G_L1: 3.851, D_real: 0.706, D_fake: 0.464

[Rank 0] (epoch: 82, iters: 150, time: 1.638, data: 0.002) , G_GAN: 0.746, G_L1: 3.301, D_real: 1.687, D_fake: 0.125

[Rank 0] (epoch: 83, iters: 100, time: 1.846, data: 7.445) , G_GAN: 1.575, G_L1: 7.600, D_real: 0.175, D_fake: 1.174

[Rank 0] (epoch: 84, iters: 50, time: 1.658, data: 0.001) , G_GAN: 1.796, G_L1: 4.934, D_real: 0.251, D_fake: 0.564

[Rank 0] (epoch: 84, iters: 150, time: 1.652, data: 0.002) , G_GAN: 0.767, G_L1: 3.918, D_real: 0.597, D_fake: 0.419

[Rank 0] (epoch: 85, iters: 100, time: 1.768, data: 7.554) , G_GAN: 1.165, G_L1: 2.481, D_real: 0.423, D_fake: 0.685

[Rank 0] (epoch: 86, iters: 50, time: 1.721, data: 0.002) , G_GAN: 0.946, G_L1: 2.371, D_real: 0.510, D_fake: 0.704

[Rank 0] (epoch: 86, iters: 150, time: 1.663, data: 0.001) , G_GAN: 0.985, G_L1: 2.089, D_real: 0.650, D_fake: 0.504

[Rank 0] (epoch: 87, iters: 100, time: 1.671, data: 7.201) , G_GAN: 0.704, G_L1: 4.176, D_real: 0.685, D_fake: 0.482

[Rank 0] (epoch: 88, iters: 50, time: 1.706, data: 0.001) , G_GAN: 2.117, G_L1: 2.788, D_real: 0.281, D_fake: 0.932

[Rank 0] (epoch: 88, iters: 150, time: 1.727, data: 0.002) , G_GAN: 1.891, G_L1: 5.556, D_real: 0.275, D_fake: 0.886

[Rank 0] (epoch: 89, iters: 100, time: 1.633, data: 7.980) , G_GAN: 1.572, G_L1: 3.349, D_real: 0.349, D_fake: 0.763

[Rank 0] (epoch: 90, iters: 50, time: 1.628, data: 0.002) , G_GAN: 0.945, G_L1: 2.181, D_real: 1.088, D_fake: 0.259

[Rank 0] (epoch: 90, iters: 150, time: 1.802, data: 0.001) , G_GAN: 0.705, G_L1: 2.734, D_real: 0.778, D_fake: 0.322

[Rank 0] (epoch: 91, iters: 100, time: 1.710, data: 7.317) , G_GAN: 1.005, G_L1: 2.868, D_real: 0.804, D_fake: 0.396

[Rank 0] (epoch: 92, iters: 50, time: 1.580, data: 0.001) , G_GAN: 1.338, G_L1: 2.682, D_real: 0.426, D_fake: 0.843

[Rank 0] (epoch: 92, iters: 150, time: 1.594, data: 0.002) , G_GAN: 0.495, G_L1: 2.472, D_real: 1.192, D_fake: 0.206

[Rank 0] (epoch: 93, iters: 100, time: 1.655, data: 8.361) , G_GAN: 1.217, G_L1: 4.412, D_real: 0.373, D_fake: 0.555

[Rank 0] (epoch: 94, iters: 50, time: 1.914, data: 0.002) , G_GAN: 1.171, G_L1: 4.965, D_real: 0.637, D_fake: 0.339

[Rank 0] (epoch: 94, iters: 150, time: 1.716, data: 0.002) , G_GAN: 0.736, G_L1: 2.573, D_real: 0.620, D_fake: 0.495

[Rank 0] (epoch: 95, iters: 100, time: 1.699, data: 7.438) , G_GAN: 1.532, G_L1: 2.787, D_real: 0.337, D_fake: 0.667

[Rank 0] (epoch: 96, iters: 50, time: 1.712, data: 0.002) , G_GAN: 0.626, G_L1: 3.065, D_real: 1.027, D_fake: 0.268

[Rank 0] (epoch: 96, iters: 150, time: 1.788, data: 0.002) , G_GAN: 1.576, G_L1: 4.867, D_real: 0.240, D_fake: 0.956

[Rank 0] (epoch: 97, iters: 100, time: 1.614, data: 7.208) , G_GAN: 1.737, G_L1: 3.020, D_real: 0.168, D_fake: 1.306

[Rank 0] (epoch: 98, iters: 50, time: 1.757, data: 0.002) , G_GAN: 1.146, G_L1: 3.128, D_real: 0.352, D_fake: 0.752

[Rank 0] (epoch: 98, iters: 150, time: 1.581, data: 0.002) , G_GAN: 0.811, G_L1: 4.956, D_real: 0.740, D_fake: 0.272

[Rank 0] (epoch: 99, iters: 100, time: 1.796, data: 7.318) , G_GAN: 1.554, G_L1: 5.755, D_real: 0.284, D_fake: 0.792

[Rank 0] (epoch: 100, iters: 50, time: 1.661, data: 0.001) , G_GAN: 1.362, G_L1: 4.558, D_real: 0.483, D_fake: 0.715

[Rank 0] (epoch: 100, iters: 150, time: 1.525, data: 0.001) , G_GAN: 1.230, G_L1: 3.260, D_real: 0.401, D_fake: 0.642

[Rank 0] (epoch: 101, iters: 100, time: 1.655, data: 7.859) , G_GAN: 1.254, G_L1: 3.137, D_real: 0.434, D_fake: 0.644

[Rank 0] (epoch: 102, iters: 50, time: 1.787, data: 0.003) , G_GAN: 0.625, G_L1: 1.845, D_real: 1.294, D_fake: 0.194

[Rank 0] (epoch: 102, iters: 150, time: 1.724, data: 0.001) , G_GAN: 1.244, G_L1: 3.064, D_real: 0.510, D_fake: 0.431

[Rank 0] (epoch: 103, iters: 100, time: 1.647, data: 7.632) , G_GAN: 1.570, G_L1: 5.353, D_real: 0.216, D_fake: 1.342

[Rank 0] (epoch: 104, iters: 50, time: 1.725, data: 0.002) , G_GAN: 1.564, G_L1: 3.569, D_real: 0.358, D_fake: 0.596

[Rank 0] (epoch: 104, iters: 150, time: 1.966, data: 0.002) , G_GAN: 1.192, G_L1: 2.500, D_real: 0.511, D_fake: 0.594

[Rank 0] (epoch: 105, iters: 100, time: 1.750, data: 7.652) , G_GAN: 0.911, G_L1: 2.405, D_real: 0.629, D_fake: 0.438

[Rank 0] (epoch: 106, iters: 50, time: 1.719, data: 0.002) , G_GAN: 0.889, G_L1: 3.193, D_real: 0.560, D_fake: 0.506

[Rank 0] (epoch: 106, iters: 150, time: 1.490, data: 0.002) , G_GAN: 1.893, G_L1: 2.869, D_real: 0.279, D_fake: 0.615

[Rank 0] (epoch: 107, iters: 100, time: 1.903, data: 6.431) , G_GAN: 1.275, G_L1: 5.845, D_real: 0.603, D_fake: 0.565

[Rank 0] (epoch: 108, iters: 50, time: 1.701, data: 0.001) , G_GAN: 1.044, G_L1: 3.105, D_real: 0.477, D_fake: 0.521

[Rank 0] (epoch: 108, iters: 150, time: 1.691, data: 0.002) , G_GAN: 1.311, G_L1: 3.389, D_real: 0.502, D_fake: 0.667

[Rank 0] (epoch: 109, iters: 100, time: 1.688, data: 9.010) , G_GAN: 1.095, G_L1: 4.764, D_real: 0.518, D_fake: 0.436

[Rank 0] (epoch: 110, iters: 50, time: 2.009, data: 0.002) , G_GAN: 1.003, G_L1: 3.510, D_real: 0.741, D_fake: 0.205

[Rank 0] (epoch: 110, iters: 150, time: 1.558, data: 0.001) , G_GAN: 0.870, G_L1: 2.651, D_real: 0.821, D_fake: 0.302

[Rank 0] (epoch: 111, iters: 100, time: 1.723, data: 7.203) , G_GAN: 1.336, G_L1: 2.974, D_real: 0.296, D_fake: 0.956

[Rank 0] (epoch: 112, iters: 50, time: 1.214, data: 0.001) , G_GAN: 1.396, G_L1: 5.681, D_real: 0.388, D_fake: 0.468

[Rank 0] (epoch: 112, iters: 150, time: 1.716, data: 0.001) , G_GAN: 2.304, G_L1: 2.862, D_real: 0.151, D_fake: 1.030

[Rank 0] (epoch: 113, iters: 100, time: 1.894, data: 71.041) , G_GAN: 1.483, G_L1: 3.321, D_real: 0.334, D_fake: 0.608

[Rank 0] (epoch: 114, iters: 50, time: 1.535, data: 0.002) , G_GAN: 0.630, G_L1: 2.867, D_real: 1.343, D_fake: 0.103

[Rank 0] (epoch: 114, iters: 150, time: 1.762, data: 0.004) , G_GAN: 1.272, G_L1: 2.493, D_real: 0.457, D_fake: 0.327

[Rank 0] (epoch: 115, iters: 100, time: 2.415, data: 9.228) , G_GAN: 0.552, G_L1: 4.948, D_real: 0.845, D_fake: 0.142

[Rank 0] (epoch: 116, iters: 50, time: 1.612, data: 0.001) , G_GAN: 0.818, G_L1: 4.744, D_real: 1.437, D_fake: 0.138

[Rank 0] (epoch: 116, iters: 150, time: 1.722, data: 0.001) , G_GAN: 1.846, G_L1: 3.115, D_real: 0.194, D_fake: 0.854

[Rank 0] (epoch: 117, iters: 100, time: 2.089, data: 9.875) , G_GAN: 1.867, G_L1: 2.846, D_real: 0.271, D_fake: 0.632

